Total_Review,review_type,encoded_review,preprocessed_review
 The rooms could be bigger  The front desk staff were great and the overall vibe of the place was really good,Good_review,1,rooms bigger desk staff great overall vibe place good
  FRIENDLY STAFF PERRFECT LOCATION,Good_review,1,friendly staff perrfect location
 The customer service is really poor except for the staff serving breakfast While the hotel claims to offer room service there was no response to telephone calls after 11pm for room service After 45 minutes when someone answered my call they said it s nearly 12 and as such we cannot offer you any food It runs contrary to the information they provide which says that room service and a menu is available from 11pm to 5am The toilet area was incredibly small and there was a really foul smell in the bathroom   The location is excellent The rooms are clean and have all the necessary amenities ,Bad_review,0,customer service poor staff serving breakfast hotel claims offer room service response telephone calls pm room service minutes answered said nearly offer food runs contrary information provide says room service menu available pm toilet area incredibly small foul smell bathroom location excellent rooms clean necessary amenities
 extremely noisy room ,Bad_review,0,extremely noisy room
  Excellent location staff were friendly and upgraded our room when we arrived Would definitely stay at this hotel next time we are in Milan ,Good_review,1,excellent location staff friendly upgraded room arrived definitely stay hotel time milan
 The place was clearly understaffed around breakfast time resulting in long queues and slow service Not what I expected from such a lovely well thought through establishment   Loved the interior decor and the art ,Good_review,1,place clearly understaffed breakfast time resulting long queues slow service expected lovely thought establishment loved interior decor art
 This was not a 5 star in terms of quality  Location and online check in out,Bad_review,0,star terms quality location online check
 The showers in the rooms above and the rooms at The side could clearly be heard running The room above sounded like a waterfall  ,Good_review,1,showers rooms rooms clearly heard running room sounded like waterfall
 It was the smallest double room I ve ever had the miss pleasure to stay You had to shuffle around the bed The bathroom was tiny and difficult to move Never again   The breakfast was very good ,Bad_review,0,smallest double room ve miss pleasure stay shuffle bed bathroom tiny difficult breakfast good
  Location,Bad_review,0,location
  friendly staff Very modern room with great shower Location perfect,Good_review,1,friendly staff modern room great shower location perfect
 Room was a bit dated  Location,Good_review,1,room bit dated location
 Two rooms booked were in separate buildings   Good facilities and service all round ,Good_review,1,rooms booked separate buildings good facilities service round
 Room was small we were on honeymoon no special arrangement from Hotel Stuff were nice bed was small and there was a gap between the king bed it was scandal to us   Very clean,Good_review,1,room small honeymoon special arrangement hotel stuff nice bed small gap king bed scandal clean
 There did seen do be a bit of signal interference with the TV but I wasnt there to watch TV   Everything is as you would expect from a Hilton hotel Nothing to complain about at all,Good_review,1,seen bit signal interference tv nt watch tv expect hilton hotel complain
 Toilet was small and slight draft from window   The room was really nice Spacious and clean ,Good_review,1,toilet small slight draft window room nice spacious clean
 Bedroom very small  Everything was perfect,Good_review,1,bedroom small perfect
 Staff shortage at the bar extremely slow to serve a drink   Overcharged on films Said special offer for one price but got charged for three ,Good_review,1,staff shortage bar extremely slow serve drink overcharged films said special offer price got charged
 Location a little way away from gothic quarter But lots to see walking there   Friendly staff Nice decor Soundproof room ,Good_review,1,location little way away gothic quarter lots walking friendly staff nice decor soundproof room
 room could be larger  very good location comfortable bed friendly staff,Good_review,1,room larger good location comfortable bed friendly staff
 No negative comments at all  Stylish chic comfortable and friendly atmosphere Breakfast was excellent,Good_review,1,negative comments stylish chic comfortable friendly atmosphere breakfast excellent
 Tiny rooms noise from street could be heard easily with windows closed thus awake all night and awful nights sleep Date tiny bathroom   Bar and bar staff were great,Bad_review,0,tiny rooms noise street heard easily windows closed awake night awful nights sleep date tiny bathroom bar bar staff great
 Lack of hotel car parking no agreement with other car parking spaces for better rates Cars are not welcome in London  ,Good_review,1,lack hotel car parking agreement car parking spaces better rates cars welcome london
 the pillows were a bit too soft no control over heating in room ,Good_review,1,pillows bit soft control heating room
 I didn t like was the en suite bathroom door which was mainly opaque glass panel surrounded by clear glass So you could see into the bathroom from the bedroom I would have preferred more privacy and a solid wooden door But it was not a big deal   The bed was extremely comfortable and felt luxurious All the staff extremely helpful and efficient ,Good_review,1,didn like en suite bathroom door mainly opaque glass panel surrounded clear glass bathroom bedroom preferred privacy solid wooden door big deal bed extremely comfortable felt luxurious staff extremely helpful efficient
 No biscuits with the tea and coffee in the room   Comfy bed Excellent breakfast Very good restaurant All waiting staff very friendly and efficient,Good_review,1,biscuits tea coffee room comfy bed excellent breakfast good restaurant waiting staff friendly efficient
  Location was brilliant,Good_review,1,location brilliant
